Store,Category,Item,Sale Price,Original or Current Price,URL
aafes,Apparel >> Accessories,Bueno Convertible Backpack (Assorted),$25-$30,,https://www.bfads.net/Item/AAFES-Black-Friday-Bueno-Convertible-Backpack-Assorted/540489
aafes,Apparel >> Accessories,Bueno Hobo Bag (Assorted),$25-30,,https://www.bfads.net/Item/AAFES-Black-Friday-Bueno-Hobo-Bag-Assorted/540496
aafes,Apparel >> Accessories,Bueno Satchel Bag,$25-$30,,https://www.bfads.net/Item/AAFES-Black-Friday-Bueno-Satchel-Bag/540503
aafes,Apparel >> Accessories,Bueno Tote Bag (Assorted),$25-$30,,https://www.bfads.net/Item/AAFES-Black-Friday-Bueno-Tote-Bag-Assorted/540500
aafes,Apparel >> Accessories,Designer Sunglasses (Assorted),$34.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Designer-Sunglasses-Assorted/540486
aafes,Apparel >> Accessories,Dooney & Bourke East West Crossbody Handbag,$79.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Dooney-Bourke-East-West-Crossbody-Handbag/540711
aafes,Apparel >> Accessories,Dooney & Bourke North South Crossbody Handbag,$79.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Dooney-Bourke-North-South-Crossbody-Handbag/540717
aafes,Apparel >> Accessories,Flying Circle Brazos Tactical Backpack (Black),$96.57 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Flying-Circle-Brazos-Tactical-Backpack-Black/540924
aafes,Apparel >> Accessories,Flying Circle Goliad Backpack Duffel (Coyote Brown),$44.77 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Flying-Circle-Goliad-Backpack-Duffel-Coyote-Brown/540923
aafes,Apparel >> Accessories,Isotoner Gloves (Assorted),25% OFF,,https://www.bfads.net/Item/AAFES-Black-Friday-Isotoner-Gloves-Assorted/540504
aafes,Apparel >> Accessories,Mundi Connie Convertible Belt Bag,$14.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Mundi-Connie-Convertible-Belt-Bag/540483
aafes,Apparel >> Accessories,Mundi Traveler Crossbody Bag,$14.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Mundi-Traveler-Crossbody-Bag/540482
aafes,Apparel >> Accessories,Prestige Handbags & Wallets,25% OFF,,https://www.bfads.net/Item/AAFES-Black-Friday-Prestige-Handbags-Wallets/540312
aafes,Apparel >> Accessories,Qmadix Smart Backpack,$39.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Qmadix-Smart-Backpack/540685
aafes,Apparel >> Accessories,Relic Handbags (Assorted),60% OFF,,https://www.bfads.net/Item/AAFES-Black-Friday-Relic-Handbags-Assorted/541026
aafes,Apparel >> Jewelry,AAFES 10K Gold Rope & Box Chain Set,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-10K-Gold-Rope-Box-Chain-Set/540449
aafes,Apparel >> Jewelry,AAFES 10K Rose Gold 1-cttw. Diamond Engagement Ring,$599.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-Rose-Gold-1cttw-Diamond-Engagement-Ring/540472
aafes,Apparel >> Jewelry,AAFES 10K Rose Gold 2-cttw. Diamond Ring,"$1,099.00 ",,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-Rose-Gold-2cttw-Diamond-Ring/540836
aafes,Apparel >> Jewelry,AAFES 10K Rose Gold 3/8-cttw. Diamond Stud Earrings,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-Rose-Gold-38cttw-Diamond-Stud-Earrings/540979
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1-cttw. Diamond Engagement Ring,$299.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-1cttw-Diamond-Engagement-Ring/540457
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1-cttw. Diamond Engagement Ring,$499.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-1cttw-Diamond-Engagement-Ring/540470
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1-cttw. Diamond Halo Stud Earrings,$499.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-1cttw-Diamond-Halo-Stud-Earrings/540455
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1-cttw. Diamond ring,$599.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-10K-White-Gold-1cttw-Diamond-ring/540832
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1-cttw. White Diamond Fashion Earrings,$449.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-1cttw-White-Diamond-Fashion-Earrings/540984
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1/2-cttw. Diamond Engagement Ring,$299.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-12cttw-Diamond-Engagement-Ring/540458
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1/2-cttw. Diamond Engagement Ring,$299.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-12cttw-Diamond-Engagement-Ring/540461
aafes,Apparel >> Jewelry,AAFES 10K White Gold 1/4-cttw. Diamond Band,$199.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-10K-White-Gold-14cttw-Diamond-Band/540813
aafes,Apparel >> Jewelry,AAFES 10K White Gold 2-cttw. Diamond Cluster Bracelet,$999.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-2cttw-Diamond-Cluster-Bracelet/540966
aafes,Apparel >> Jewelry,AAFES 10K White Gold 2-cttw. Diamond Engagement Ring,$999.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-2cttw-Diamond-Engagement-Ring/540465
aafes,Apparel >> Jewelry,AAFES 10K White Gold 2-cttw. Diamond Ring,$999.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-2cttw-Diamond-Ring/540964
aafes,Apparel >> Jewelry,AAFES 10K White Gold 3-cttw. Diamond Bracelet,"$1,299.00 ",,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-White-Gold-3cttw-Diamond-Bracelet/540968
aafes,Apparel >> Jewelry,AAFES 10K Yellow Gold 2-cttw. Diamond Bracelet,$999.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-10K-Yellow-Gold-2cttw-Diamond-Bracelet/540473
aafes,Apparel >> Jewelry,AAFES 14K Gold 1/2-cttw. Round Diamond Stud Earrings,$269.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-14K-Gold-12cttw-Round-Diamond-Stud-Earrings/540453
aafes,Apparel >> Jewelry,AAFES 14K Gold 1/4-cttw. Diamond Stud Earrings,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-14K-Gold-14cttw-Diamond-Stud-Earrings/540980
aafes,Apparel >> Jewelry,AAFES 14K Gold Plated Sterling Silver 1-1/10-cttw. Diamond Bracelet,$249.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-14K-Gold-Plated-Sterling-Silver-1110cttw-Diamond-Bracelet/540744
aafes,Apparel >> Jewelry,AAFES 14K White & Yellow Gold 8-mm. Hoop Boxed Earring Set,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-14K-White-Yellow-Gold-8mm-Hoop-Boxed-Earring-Set/540450
aafes,Apparel >> Jewelry,AAFES 14K White Gold 1-cttw. Diamond Solitaire Ring,$999.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-14K-White-Gold-1cttw-Diamond-Solitaire-Ring/540468
aafes,Apparel >> Jewelry,AAFES 14K White Gold 1/2-cttw. Diamond Solitaire Pendant,$799.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-14K-White-Gold-12cttw-Diamond-Solitaire-Pendant/540986
aafes,Apparel >> Jewelry,AAFES 14K Yellow Gold 8-mm. Hoop & 5-mm. Ball Boxed earring Set,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-14K-Yellow-Gold-8mm-Hoop-5mm-Ball-Boxed-earring-Set/540452
aafes,Apparel >> Jewelry,AAFES 14K Yellow Gold Over Sterling Silver 2-cttw. Diamond Fashion Ring,$299.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-14K-Yellow-Gold-Over-Sterling-Silver-2cttw-Diamond-Fashion-Ring/540840
aafes,Apparel >> Jewelry,AAFES 18K Gold Plated Sterling Silver Glitter Hoop Earrings & Bangle Set,$39.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-18K-Gold-Plated-Sterling-Silver-Glitter-Hoop-Earrings-Bangle-Set/540459
aafes,Apparel >> Jewelry,AAFES Cubic Zirconia Fancy Earrings & Bracelet Sterling Silver Set,$29.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-Cubic-Zirconia-Fancy-Earrings-Bracelet-Sterling-Silver-Set/540864
aafes,Apparel >> Jewelry,AAFES Cubic Zirconia Round & Cushion Halo Stud Sterling Silver Earring Set,$12.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-AAFES-Cubic-Zirconia-Round-Cushion-Halo-Stud-Sterling-Silver-Earring-Set/540861
aafes,Apparel >> Jewelry,American Rose 10K White Gold 1-1/2-cttw. Diamond Ring,$799.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-American-Rose-10K-White-Gold-112cttw-Diamond-Ring/540834
aafes,Apparel >> Jewelry,American Rose 14K White Gold 1 1/4-cttw. Emerald Cut Diamond Bridal Set,"$1,299.00 ",,https://www.bfads.net/Item/AAFES-Black-Friday-American-Rose-14K-White-Gold-1-14cttw-Emerald-Cut-Diamond-Bridal-Set/540965
aafes,Apparel >> Jewelry,Anne Klein Womens Boxed Watch Set (Assorted),$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Anne-Klein-Womens-Boxed-Watch-Set-Assorted/540438
aafes,Apparel >> Jewelry,Compressed Druzy Trio Earring Set,$12.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Compressed-Druzy-Trio-Earring-Set/540841
aafes,Apparel >> Jewelry,Cubic Zirconia Cushion Cut Halo Earrings & Bangle Set,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Cubic-Zirconia-Cushion-Cut-Halo-Earrings-Bangle-Set/540474
aafes,Apparel >> Jewelry,Cubic Zirconia Stud & Huggie Earring Set,$9.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Cubic-Zirconia-Stud-Huggie-Earring-Set/540529
aafes,Apparel >> Jewelry,Cultured Fresh Water 7-8mm Pearl Stud Earrings,$11.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Cultured-Fresh-Water-78mm-Pearl-Stud-Earrings/540511
aafes,Apparel >> Jewelry,Cultured Freshwater Pearl Stretch Bracelet (Pink),$14.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Cultured-Freshwater-Pearl-Stretch-Bracelet-Pink/540467
